TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,35","1,35","0,00079"
8,"30,85","14,85","0,00085"
13,"64,95","38,95","0,00099"
18,"93,0","63,6","0,00371"
23,"123,9","87,9","0,00214"
28,"158,55","116,05","0,00298"
33,"191,0","143,7","0,00416"
38,"225,65","177,25","0,00460"
43,"263,45","215,65","0,00521"
48,"296,25","243,35","0,00572"
53,"336,25","285,0","0,00627"
58,"374,5","308,7","0,00693"
63,"410,7","358,9","0,00751"
68,"449,6","385,2","0,00789"
73,"490,2","422,05","0,00843"
78,"515,05","462,55","0,00900"
83,"568,1","501,3","0,00932"
88,"590,1","525,95","0,01025"
93,"635,3","572,95","0,01053"
98,"688,3","626,45","0,01108"
103,"734,65","652,35","0,01178"
10000,"117852,3","142410,0","1,81701"
20000,"249709,65","307209,85","3,72514"
30000,"386245,4","488726,95","5,73202"
40000,"527818,35","666142,2","7,25731"
50000,"671232,45","851043,45","8,24963"
60000,"817877,8","1034644,85","11,03973"
70000,"963842,55","1234135,2","11,94043"
80000,"1111251,9","1439780,35","13,65193"
90000,"1263038,3","1617583,9","15,52271"
100000,"1416222,9","1808977,4","17,48118"
200000,"2973998,3","3907470,9","36,05355"
300000,"4583222,4","6017465,35","55,93536"
400000,"6226415,0","8246725,35","77,14889"
500000,"7897234,3","1,050568825E7","95,93937"
600000,"9589778,9","1,278761945E7","122,54894"
700000,"1,129652165E7","1,511796655E7","136,84425"
800000,"1,303668645E7","1,738467945E7","157,58709"
900000,"1,475331925E7","1,990719405E7","177,18095"
1000000,"1,651908205E7","2,217286095E7","204,32872"
