TamArray,NumAsig,NumComp,Tiempo(ns)
600000,"10079599","13726081","1.06112509E8"
600000,"10201436","12942570","1.10061946E8"
600000,"10138846","13430007","1.01588767E8"
600000,"10123551","13408879","1.05341271E8"
600000,"10184708","13038135","1.11648286E8"
600000,"10105072","13545216","1.0505575E8"
600000,"10092252","13568011","1.04783838E8"
600000,"10106530","13410448","1.06943281E8"
600000,"10160128","13274428","1.07178083E8"
600000,"10146401","13303192","1.08461307E8"
600000,"10146414","13131700","1.02835815E8"
600000,"10129755","13352065","1.01728153E8"
600000,"10199924","12938027","1.06719211E8"
600000,"10076525","13579325","1.02503684E8"
600000,"10511209","13331499","1.04447454E8"
600000,"10199699","12946159","1.05176963E8"
600000,"10181483","13165952","1.0359237E8"
600000,"10165469","13115168","1.0202606E8"
600000,"10175234","13128060","1.04722374E8"
600000,"10162307","13167168","1.02654075E8"
