TamArray,NumAsig,NumComp,Tiempo(ns)
68,"515","412","5011.0"
68,"512","482","4730.0"
68,"529","427","4170.0"
68,"485","392","4455.0"
68,"597","488","4074.0"
68,"474","395","5717.0"
68,"574","482","4479.0"
68,"526","488","5162.0"
68,"575","488","4558.0"
68,"587","496","5053.0"
68,"508","440","6875.0"
68,"514","420","5915.0"
68,"477","415","6411.0"
68,"520","420","4221.0"
68,"496","383","4513.0"
68,"458","418","4348.0"
68,"537","452","3974.0"
68,"505","476","4824.0"
68,"488","414","3957.0"
68,"459","376","4391.0"
