TamArray,NumAsig,NumComp,Tiempo(ns)
50000,"722378","893798","7589250.0"
50000,"723093","858535","7431834.0"
50000,"713213","912848","7282156.0"
50000,"718864","883090","7249132.0"
50000,"720965","878810","7406265.0"
50000,"719522","870405","7391594.0"
50000,"721604","870271","7095976.0"
50000,"723691","859176","7210338.0"
50000,"718323","896247","7372624.0"
50000,"719543","887830","7177963.0"
50000,"716197","902770","7142173.0"
50000,"719609","881739","7373772.0"
50000,"714177","907468","7092502.0"
50000,"713698","906143","7155599.0"
50000,"718725","873340","7124508.0"
50000,"718533","880361","7150095.0"
50000,"717006","887747","6939482.0"
50000,"717967","882222","7886603.0"
50000,"710480","934090","7373579.0"
50000,"717333","898491","7036778.0"
