TamArray,NumAsig,NumComp,Tiempo(ns)
1000000,"17437507","23031533","1.78498827E8"
1000000,"17457387","22693195","1.76942976E8"
1000000,"17488400","22649307","1.86506363E8"
1000000,"17477176","22704967","1.82958752E8"
1000000,"17403343","23035740","1.78373628E8"
1000000,"17507708","22746819","1.73996338E8"
1000000,"17461371","22870173","1.73253255E8"
1000000,"17420410","23124639","1.77025381E8"
1000000,"17428109","23010615","1.86132677E8"
1000000,"17491725","22927509","1.92288268E8"
1000000,"17358227","23440790","1.81704085E8"
1000000,"17436528","22894352","1.79318985E8"
1000000,"17435032","22971850","1.8186267E8"
1000000,"17542049","22281105","1.87421392E8"
1000000,"17439638","22813513","1.81805976E8"
1000000,"17470303","22677279","1.83976756E8"
1000000,"17527361","22414666","2.29569123E8"
1000000,"17453986","22754742","1.88633515E8"
1000000,"17341396","23499312","1.88895988E8"
1000000,"17529672","22347268","1.88449909E8"
