TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,2","1,2","0,00065"
8,"29,6","13,6","0,00075"
13,"61,7","35,7","0,00089"
18,"105,1","69,1","0,00129"
23,"175,85","129,85","0,00153"
28,"186,05","140,0","0,00287"
33,"235,2","182,3","0,00307"
38,"267,1","213,0","0,00359"
43,"328,1","261,3","0,00380"
48,"379,75","309,9","0,00675"
53,"415,8","343,95","0,00492"
58,"451,35","375,15","0,00524"
63,"500,7","417,35","0,00576"
68,"547,5","457,7","0,00627"
73,"586,6","499,85","0,00673"
78,"622,45","533,45","0,00712"
83,"680,6","593,35","0,00768"
88,"729,55","639,0","0,00814"
93,"759,85","675,4","0,00906"
98,"830,45","752,7","0,00955"
103,"876,65","764,45","0,00942"
10000,"132333,35","153559,55","1,20687"
20000,"278251,5","332532,85","2,58843"
30000,"430090,95","515982,35","4,02429"
40000,"584488,4","713647,65","5,23406"
50000,"742014,35","906753,55","6,79479"
60000,"902350,1","1110230,15","8,42345"
70000,"1063768,15","1311340,15","10,63145"
80000,"1225342,55","1525457,3","11,62423"
90000,"1391094,75","1720048,65","13,47915"
100000,"1556329,4","1938640,5","16,12875"
200000,"3256074,65","4117608,9","31,49108"
300000,"5006079,05","6390999,35","49,66941"
400000,"6799283,6","8672809,7","67,31484"
500000,"8599939,2","1,10934773E7","86,05790"
600000,"1,04796195E7","1,34278221E7","106,63619"
700000,"1,230340285E7","1,5891783E7","127,29876"
800000,"1,41707346E7","1,83157416E7","142,76717"
900000,"1,60529834E7","2,07578188E7","161,33682"
1000000,"1,794304155E7","2,325947275E7","185,57069"
