TamArray,NumAsig,NumComp,Tiempo(ns)
93,"768","730","49415.0"
93,"690","694","42126.0"
93,"753","759","49032.0"
93,"663","726","47938.0"
93,"693","680","52164.0"
93,"711","709","43705.0"
93,"651","685","39121.0"
93,"747","710","45837.0"
93,"672","683","52808.0"
93,"780","740","47506.0"
93,"720","690","52476.0"
93,"630","738","42673.0"
93,"669","657","35646.0"
93,"693","707","50555.0"
93,"771","712","55438.0"
93,"657","675","55387.0"
93,"678","678","40412.0"
93,"690","683","43874.0"
93,"735","708","48591.0"
93,"648","684","42919.0"
