60000,"840883","1052887","4742332.0"
60000,"840430","1057181","4686591.0"
60000,"843795","1052248","5007909.0"
60000,"842016","1045000","4738085.0"
60000,"846868","1045365","4756512.0"
60000,"843151","1048173","4860978.0"
60000,"840976","1060248","4816312.0"
60000,"856743","1056575","4781055.0"
60000,"843986","1035583","4731025.0"
60000,"829860","1127604","4604313.0"
60000,"841257","1049120","4904012.0"
60000,"843223","1052004","4675857.0"
60000,"841774","1059293","4653081.0"
60000,"842711","1062027","4799199.0"
60000,"843446","1046858","4798726.0"
60000,"841036","1054556","4687972.0"
60000,"840491","1089966","5811285.0"
60000,"839999","1052004","4835473.0"
60000,"838014","1082041","4720467.0"
60000,"840214","1061090","4780444.0"
