TamArray,NumAsig,NumComp,Tiempo(ns)
28,"154","115","3948.0"
28,"167","156","3430.0"
28,"150","112","2686.0"
28,"168","125","2240.0"
28,"163","126","2186.0"
28,"160","109","2187.0"
28,"159","104","2467.0"
28,"141","100","2569.0"
28,"157","111","2191.0"
28,"149","100","2528.0"
28,"178","115","2011.0"
28,"166","105","2025.0"
28,"153","129","2993.0"
28,"143","103","3134.0"
28,"167","113","10926.0"
28,"160","129","2444.0"
28,"159","124","3003.0"
28,"172","123","2368.0"
28,"145","101","2091.0"
28,"160","121","2179.0"
