TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,5","1,5","0,00052"
8,"29,95","13,95","0,00062"
13,"65,9","39,9","0,00068"
18,"110,45","74,45","0,00087"
23,"135,6","95,55","0,00170"
28,"171,45","127,55","0,00211"
33,"204,65","154,8","0,00239"
38,"257,85","204,5","0,00292"
43,"288,25","224,6","0,00518"
48,"328,5","268,6","0,00893"
53,"375,7","305,0","0,00443"
58,"410,1","342,75","0,00429"
63,"443,2","391,3","0,00488"
68,"488,1","417,55","0,00508"
73,"535,6","455,35","0,00555"
78,"577,05","502,9","0,00574"
83,"625,1","550,4","0,00594"
88,"648,2","579,0","0,00683"
93,"699,7","620,55","0,00687"
98,"748,25","662,55","0,00711"
103,"786,55","700,0","0,00788"
10000,"123960,5","146870,5","1,39480"
20000,"261713,85","317896,4","2,82059"
30000,"405916,1","493157,15","4,34923"
40000,"551399,8","686669,45","6,00925"
50000,"702072,75","872280,35","7,53047"
60000,"854226,7","1064805,5","9,53940"
70000,"1006830,25","1260022,75","11,01714"
80000,"1162042,6","1474336,9","12,65904"
90000,"1319747,95","1650474,55","13,70233"
100000,"1474711,45","1863935,15","15,22600"
200000,"3090583,85","3998014,9","33,83705"
300000,"4768162,0","6149611,0","50,67658"
400000,"6463689,95","8461317,5","71,25113"
500000,"8198922,05","1,082084665E7","90,61925"
600000,"9952500,65","1,30761309E7","112,98144"
700000,"1,173321995E7","1,53896564E7","127,87259"
800000,"1,352833455E7","1,77290012E7","145,48381"
900000,"1,533565635E7","2,00418092E7","169,28759"
1000000,"1,71152528E7","2,263285325E7","186,30523"
