TamArray,NumAsig,NumComp,Tiempo(ns)
20000,"248773","311915","3314469.0"
20000,"248589","312846","3308358.0"
20000,"247852","306640","3277829.0"
20000,"250496","308769","3255480.0"
20000,"248465","305708","3241617.0"
20000,"246600","310416","3301641.0"
20000,"249003","302374","3245829.0"
20000,"248987","305470","3261910.0"
20000,"248702","304941","3306269.0"
20000,"250014","305546","5212652.0"
20000,"246992","315832","4576747.0"
20000,"247463","307052","3532319.0"
20000,"248360","308043","3347114.0"
20000,"248520","305141","3278818.0"
20000,"249145","300911","3301529.0"
20000,"247762","307375","3429293.0"
20000,"246532","319112","3299678.0"
20000,"247656","310229","3290226.0"
20000,"248948","306678","3525271.0"
20000,"248457","313726","3265665.0"
