TamArray,NumAsig,NumComp,Tiempo(ns)
83,"535","557","8506.0"
83,"572","528","7705.0"
83,"549","466","8171.0"
83,"550","533","7962.0"
83,"571","476","6948.0"
83,"556","516","11200.0"
83,"571","518","7286.0"
83,"551","477","7626.0"
83,"544","538","10960.0"
83,"558","482","7625.0"
83,"520","489","7446.0"
83,"528","497","7669.0"
83,"524","508","7334.0"
83,"571","515","6969.0"
83,"548","554","7342.0"
83,"562","507","7584.0"
83,"556","535","8043.0"
83,"525","471","6723.0"
83,"527","487","7680.0"
83,"576","518","13047.0"
