TamArray,NumAsig,NumComp,Tiempo(ns)
700000,"11186582","15206460","1.50130705E8"
700000,"11191130","15254410","1.47479106E8"
700000,"11215942","14988698","1.44132946E8"
700000,"11168970","15280491","1.45378191E8"
700000,"11276935","14647882","1.47899073E8"
700000,"11249187","15085383","1.41964994E8"
700000,"11188348","15143869","1.36376428E8"
700000,"11219661","14954364","1.35373908E8"
700000,"11177948","15155302","1.39289707E8"
700000,"11152771","15550953","1.42446253E8"
700000,"11234406","14954881","1.50145757E8"
700000,"11171755","15374632","1.59225069E8"
700000,"11266526","14746327","1.42694153E8"
700000,"11211437","15194575","1.5609382E8"
700000,"11239042","14901223","1.50869132E8"
700000,"11194804","15242226","1.48140687E8"
700000,"11195799","15096476","1.51042824E8"
700000,"11242631","14901683","1.47295706E8"
700000,"11220340","15039987","1.39261708E8"
700000,"11209802","15116941","1.44291273E8"
