TamArray,NumAsig,NumComp,Tiempo(ns)
43,"296","258","4656.0"
43,"290","241","5009.0"
43,"255","215","5279.0"
43,"288","233","5128.0"
43,"276","208","4870.0"
43,"284","233","4798.0"
43,"297","246","4804.0"
43,"263","200","4902.0"
43,"276","204","4770.0"
43,"271","212","4730.0"
43,"297","223","4477.0"
43,"305","244","5021.0"
43,"274","211","5124.0"
43,"320","249","4434.0"
43,"248","187","4105.0"
43,"246","179","4307.0"
43,"259","220","5043.0"
43,"287","248","4970.0"
43,"288","210","3729.0"
43,"265","220","4258.0"
