TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,4","1,4","0,00065"
8,"29,75","13,75","0,00077"
13,"62,6","36,6","0,00077"
18,"111,7","75,7","0,00104"
23,"174,25","128,25","0,00118"
28,"183,55","135,35","0,00214"
33,"232,65","177,05","0,00246"
38,"270,15","210,05","0,00305"
43,"304,55","242,8","0,00307"
48,"363,25","297,05","0,00342"
53,"402,65","327,2","0,00406"
58,"432,9","357,95","0,00425"
63,"489,25","406,8","0,00456"
68,"521,6","439,0","0,00528"
73,"565,0","483,65","0,00562"
78,"608,8","519,8","0,00582"
83,"668,5","578,25","0,00633"
88,"726,35","638,5","0,00619"
93,"752,85","664,95","0,00737"
98,"788,3","698,7","0,00739"
103,"843,6","745,2","0,00758"
10000,"129192,85","152298,1","1,23239"
20000,"273439,35","326956,55","2,60840"
30000,"422766,75","508421,25","4,56527"
40000,"575149,5","704840,4","5,63758"
50000,"729732,1","897106,0","7,03483"
60000,"888057,85","1094260,0","9,35878"
70000,"1048883,5","1297511,8","10,96650"
80000,"1206145,7","1509793,5","11,90134"
90000,"1371389,05","1697187,5","13,18734"
100000,"1531242,9","1915906,7","15,71359"
200000,"3206713,75","4070044,8","31,29486"
300000,"4933026,75","6317594,25","51,06042"
400000,"6710629,55","8616104,45","67,05939"
500000,"8492210,95","1,090269165E7","87,72616"
600000,"1,03024528E7","1,32900023E7","109,86349"
700000,"1,212541565E7","1,56915355E7","124,12211"
800000,"1,39700096E7","1,81408827E7","145,71147"
900000,"1,582446765E7","2,057151605E7","165,46673"
1000000,"1,768223725E7","2,31236517E7","180,88664"
