3,"7,35","1,35","0,00015"
8,"31,2","15,2","0,00018"
13,"63,95","37,95","0,00024"
18,"92,15","61,4","0,00054"
23,"125,5","88,4","0,00073"
28,"160,15","119,55","0,00094"
33,"205,0","154,8","0,00108"
38,"235,35","186,65","0,00136"
43,"266,55","215,05","0,00165"
48,"305,55","249,35","0,00179"
53,"355,7","301,75","0,00259"
58,"376,65","311,1","0,00210"
63,"413,9","345,45","0,00238"
68,"453,1","381,15","0,00260"
73,"494,9","421,3","0,00270"
78,"536,0","467,6","0,00296"
83,"568,05","496,0","0,00327"
88,"617,2","545,1","0,00341"
93,"647,3","583,0","0,00364"
98,"751,45","686,25","0,00393"
10000,"118994,75","144573,75","0,71565"
20000,"252473,6","310054,3","1,57782"
30000,"391291,4","487238,0","2,34703"
40000,"534216,8","664589,85","3,20479"
50000,"677583,35","861868,3","4,04556"
60000,"827716,75","1034182,2","4,92173"
70000,"974528,3","1246937,65","5,84027"
80000,"1125389,8","1426186,9","6,83893"
90000,"1274479,3","1634067,95","7,62209"
100000,"1426873,3","1841004,1","8,71952"
200000,"2996972,4","3914304,35","18,05799"
300000,"4622627,45","6065955,3","28,05014"
400000,"6285875,7","8248099,15","38,05946"
500000,"7967412,2","1,05475752E7","48,48186"
600000,"9679889,0","1,282165585E7","65,40840"
700000,"1,14009961E7","1,51661197E7","71,10580"
800000,"1,31666785E7","1,73316229E7","91,61326"
900000,"1,491061205E7","1,97520631E7","91,09920"
1000000,"1,666549905E7","2,217894535E7","101,88547"
