TamArray,NumAsig,NumComp,Tiempo(ns)
78,"532","437","6016.0"
78,"562","447","5468.0"
78,"573","531","6243.0"
78,"558","504","8340.0"
78,"542","469","5872.0"
78,"535","469","5724.0"
78,"564","514","5571.0"
78,"562","479","5669.0"
78,"594","499","7407.0"
78,"566","482","6952.0"
78,"531","483","8028.0"
78,"558","477","6137.0"
78,"522","449","5615.0"
78,"548","464","5405.0"
78,"597","529","7057.0"
78,"558","488","7703.0"
78,"545","449","5637.0"
78,"539","461","6095.0"
78,"525","459","5547.0"
78,"525","449","5394.0"
