TamArray,NumAsig,NumComp,Tiempo(ns)
28,"143","117","3005.0"
28,"151","115","2502.0"
28,"173","159","2589.0"
28,"165","126","2361.0"
28,"145","95","1856.0"
28,"165","132","2395.0"
28,"171","124","1750.0"
28,"188","138","1709.0"
28,"158","118","2162.0"
28,"144","105","2233.0"
28,"154","106","2339.0"
28,"204","146","1802.0"
28,"163","110","2332.0"
28,"169","119","2111.0"
28,"191","136","1734.0"
28,"134","89","2384.0"
28,"146","118","2515.0"
28,"168","125","2126.0"
28,"182","135","1789.0"
28,"152","131","3905.0"
