TamArray,NumAsig,NumComp,Tiempo(ns)
400000,"6534510","8277096","7.719661E7"
400000,"6502757","8457013","7.7618056E7"
400000,"6526591","8353829","7.0056585E7"
400000,"6489672","8552438","8.9731761E7"
400000,"6452317","8911974","9.0023202E7"
400000,"6524177","8341566","7.2806925E7"
400000,"6537217","8350335","6.7050092E7"
400000,"6500040","8516978","6.7039614E7"
400000,"6486139","8540838","6.7269911E7"
400000,"6529405","8390142","6.7883389E7"
400000,"6509860","8500779","7.0474139E7"
400000,"6521038","8427794","6.6976317E7"
400000,"6500090","8556000","6.9246795E7"
400000,"6528315","8371560","7.3376793E7"
400000,"6537343","8236748","6.9477074E7"
400000,"6463399","8652333","6.6262748E7"
400000,"6482112","8578579","6.495869E7"
400000,"6510508","8498406","6.6431217E7"
400000,"6456789","8815630","6.7506794E7"
400000,"6526949","8341556","6.6970632E7"
