TamArray,NumAsig,NumComp,Tiempo(ns)
43,"274","245","3669.0"
43,"296","227","3009.0"
43,"295","227","2617.0"
43,"312","229","2810.0"
43,"271","202","2763.0"
43,"256","191","2719.0"
43,"318","265","3092.0"
43,"329","254","2700.0"
43,"295","254","3217.0"
43,"308","244","2985.0"
43,"318","265","2792.0"
43,"298","270","3165.0"
43,"331","260","2672.0"
43,"285","213","2580.0"
43,"265","227","2918.0"
43,"291","243","3003.0"
43,"282","229","3654.0"
43,"367","343","3722.0"
43,"306","248","2773.0"
43,"270","192","3609.0"
