TamArray,NumAsig,NumComp,Tiempo(ns)
500000,"8734595","11173407","8.726427E7"
500000,"8769095","11024035","8.4055924E7"
500000,"8720339","11351620","8.2963547E7"
500000,"8737631","11172165","8.2515095E7"
500000,"8750851","11080591","8.0739642E7"
500000,"8700216","11296508","8.1138311E7"
500000,"8747003","11305498","8.4268427E7"
500000,"8712029","11244488","8.0993157E7"
500000,"8779130","11007848","8.5060558E7"
500000,"8746863","11089858","8.6505154E7"
500000,"8702297","11564408","8.3468205E7"
500000,"8748675","11081571","8.2697902E7"
500000,"8722394","11191854","8.5950645E7"
500000,"8751513","11031211","8.0579314E7"
500000,"8749232","11012542","8.3104405E7"
500000,"8785036","10928319","8.5809106E7"
500000,"8746782","11097951","8.535675E7"
500000,"8754337","11057649","8.8024827E7"
500000,"8725913","11138097","8.4206836E7"
500000,"8704092","11317954","8.4752645E7"
