TamArray,NumAsig,NumComp,Tiempo(ns)
38,"313","247","2872.0"
38,"291","220","2159.0"
38,"284","224","2086.0"
38,"257","197","2038.0"
38,"296","233","2170.0"
38,"224","179","3207.0"
38,"273","204","2169.0"
38,"254","177","2018.0"
38,"284","221","2062.0"
38,"287","225","2067.0"
38,"301","239","2202.0"
38,"283","215","2073.0"
38,"307","235","1978.0"
38,"315","244","3035.0"
38,"229","182","3012.0"
38,"269","209","2649.0"
38,"364","307","2374.0"
38,"317","269","2976.0"
38,"240","189","2632.0"
38,"264","195","2008.0"
