TamArray,NumAsig,NumComp,Tiempo(ns)
50000,"668020","833067","9779878.0"
50000,"665444","846288","9182960.0"
50000,"667548","841339","8928697.0"
50000,"670724","830455","8966196.0"
50000,"665820","844479","8908809.0"
50000,"662260","867025","9353225.0"
50000,"663407","863998","9514934.0"
50000,"663445","859433","9195592.0"
50000,"666504","852935","9943988.0"
50000,"673734","845011","9486043.0"
50000,"662900","862667","9868249.0"
50000,"669386","837657","9507908.0"
50000,"671923","846713","9114661.0"
50000,"662117","875636","8918256.0"
50000,"666980","833924","9146241.0"
50000,"666171","843475","9194461.0"
50000,"666583","853861","9809300.0"
50000,"667037","845933","8885207.0"
50000,"669415","825373","9382106.0"
50000,"663360","865136","8973325.0"
