TamArray,NumAsig,NumComp,Tiempo(ns)
400000,"6262293","8614758","7.2452322E7"
400000,"6326702","8240769","7.2686051E7"
400000,"6318847","8261509","7.0542611E7"
400000,"6312568","8365471","6.8064476E7"
400000,"6347986","8248002","6.8440916E7"
400000,"6329802","8236373","6.7803635E7"
400000,"6334984","8171105","7.0104805E7"
400000,"6341669","8155881","7.2877841E7"
400000,"6292835","8384532","6.9190268E7"
400000,"6287576","8620813","7.2926347E7"
400000,"6339981","8242749","7.1231194E7"
400000,"6330459","8157028","6.966758E7"
400000,"6313406","8252707","7.0809563E7"
400000,"6333105","8193039","7.4064418E7"
400000,"6335791","8164487","7.2434297E7"
400000,"6321778","8180160","7.4569057E7"
400000,"6279802","8569973","7.1068544E7"
400000,"6336077","8159059","7.2109656E7"
400000,"6321033","8268713","7.0305734E7"
400000,"6340651","8101412","7.2865007E7"
