TamArray,NumAsig,NumComp,Tiempo(ns)
100000,"1470040","1886084","1.514415E7"
100000,"1474057","1849533","1.4935831E7"
100000,"1477098","1898995","1.4904592E7"
100000,"1479788","1832343","1.5297503E7"
100000,"1476062","1859085","1.5830182E7"
100000,"1475061","1863034","1.5671906E7"
100000,"1476894","1842696","1.5504018E7"
100000,"1473635","1919479","1.4920566E7"
100000,"1479098","1814079","1.4903137E7"
100000,"1477624","1824965","1.4713235E7"
100000,"1471657","1885037","1.5043521E7"
100000,"1464203","1907138","1.4642576E7"
100000,"1483794","1831082","1.491966E7"
100000,"1473871","1886152","1.5309291E7"
100000,"1476915","1860161","1.5441864E7"
100000,"1471577","1865123","1.509578E7"
100000,"1477798","1826911","1.5010421E7"
100000,"1476004","1851270","1.5465328E7"
100000,"1469903","1886684","1.6095059E7"
100000,"1469150","1888852","1.567133E7"
