TamArray,NumAsig,NumComp,Tiempo(ns)
1000000,"16389973","22009673","2.22606282E8"
1000000,"16463229","21748642","2.19335844E8"
1000000,"16352062","22139129","2.10604759E8"
1000000,"16407742","21860737","2.14618865E8"
1000000,"16400401","22001820","2.17895874E8"
1000000,"16463531","21648359","2.14297178E8"
1000000,"16404147","22058500","2.08403959E8"
1000000,"16410971","21885358","2.09876439E8"
1000000,"16429558","21850738","2.12725686E8"
1000000,"16404198","22005304","2.17558596E8"
1000000,"16363488","22135479","2.17168665E8"
1000000,"16375964","22307520","2.18281029E8"
1000000,"16445541","21794220","2.06009044E8"
1000000,"16331594","22639396","2.24730055E8"
1000000,"16437527","21937488","2.11007677E8"
1000000,"16395243","21932708","2.08216607E8"
1000000,"16378119","22040947","2.31054521E8"
1000000,"16337890","23098489","2.1940646E8"
1000000,"16471674","21652378","2.10394605E8"
1000000,"16412651","21974356","2.16108634E8"
