TamArray,NumAsig,NumComp,Tiempo(ns)
38,"232","173","4077.0"
38,"228","178","3409.0"
38,"212","168","4625.0"
38,"229","176","3649.0"
38,"203","160","3224.0"
38,"233","170","4731.0"
38,"235","167","3268.0"
38,"225","164","3435.0"
38,"230","188","3459.0"
38,"210","189","4754.0"
38,"243","198","3198.0"
38,"215","150","3350.0"
38,"210","169","3187.0"
38,"225","180","3096.0"
38,"218","167","3180.0"
38,"225","162","3775.0"
38,"214","160","4375.0"
38,"204","151","3689.0"
38,"220","176","4803.0"
38,"218","167","3661.0"
