TamArray,NumAsig,NumComp,Tiempo(ns)
80000,"1103935","1453275","1.3350261E7"
80000,"1108758","1419133","1.3637463E7"
80000,"1118138","1356217","1.3516094E7"
80000,"1106952","1406967","1.4072199E7"
80000,"1109138","1399702","1.305252E7"
80000,"1104343","1419893","1.3027075E7"
80000,"1109903","1385798","1.4687878E7"
80000,"1093952","1496974","1.3335253E7"
80000,"1108503","1462583","1.3715381E7"
80000,"1100087","1442929","1.289577E7"
80000,"1105904","1408466","1.3277825E7"
80000,"1111631","1379165","1.3361136E7"
80000,"1106235","1410002","1.3162804E7"
80000,"1109636","1401078","1.3223797E7"
80000,"1103674","1434091","1.3526758E7"
80000,"1107266","1399548","1.3479658E7"
80000,"1103647","1425491","1.2638167E7"
80000,"1107022","1409367","1.2818522E7"
80000,"1113651","1371524","1.3304554E7"
80000,"1106098","1423000","1.3384642E7"
