TamArray,NumAsig,NumComp,Tiempo(ns)
400000,"6855200","8585469","6.5341344E7"
400000,"6836096","8695303","6.5006375E7"
400000,"6819874","8934849","6.4669608E7"
400000,"6856675","8685245","6.5590912E7"
400000,"6853695","8796275","7.0161905E7"
400000,"6808455","8926712","6.7340127E7"
400000,"6832425","8907595","6.9494393E7"
400000,"6844586","8771984","6.7993976E7"
400000,"6828781","8753913","6.5534443E7"
400000,"6852380","8658685","7.1004791E7"
400000,"6833471","8873758","7.1084917E7"
400000,"6876930","8543925","6.9683796E7"
400000,"6892387","8542655","6.6111808E7"
400000,"6886742","8563478","6.5163618E7"
400000,"6847706","8690575","6.6477445E7"
400000,"6843231","8640561","8.3492608E7"
400000,"6886417","8516095","6.9684313E7"
400000,"6835578","8741679","6.7578826E7"
400000,"6894131","8414252","6.6606289E7"
400000,"6814170","9015573","6.975849E7"
