TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,35","1,35","0,00062"
8,"32,4","16,7","0,00326"
13,"60,75","37,5","0,00220"
18,"89,9","62,1","0,00267"
23,"120,45","88,15","0,00324"
28,"156,0","122,55","0,00370"
33,"192,75","148,95","0,00634"
38,"222,3","183,15","0,00495"
43,"258,45","209,85","0,00577"
48,"289,45","245,0","0,00644"
53,"329,3","281,05","0,00653"
58,"366,55","301,15","0,00698"
63,"405,85","351,45","0,00810"
68,"444,9","396,0","0,00761"
73,"474,1","413,4","0,00829"
78,"514,9","457,9","0,00918"
83,"549,15","508,85","0,00976"
88,"594,55","548,45","0,00990"
93,"638,0","573,4","0,01050"
98,"691,0","610,6","0,01112"
103,"716,95","649,25","0,01099"
10000,"117244,05","144892,9","1,60533"
20000,"248365,8","308436,2","3,47864"
30000,"386762,65","482599,05","5,01372"
40000,"525795,45","668040,15","6,97850"
50000,"669684,0","855713,55","8,99643"
60000,"813423,6","1042239,75","10,79588"
70000,"959112,65","1247886,0","13,30414"
80000,"1106883,5","1445791,1","15,40714"
90000,"1261322,3","1624028,2","17,54919"
100000,"1409866,0","1815620,4","19,70445"
200000,"2958896,2","3898833,85","39,54988"
300000,"4566372,6","6027671,25","62,92468"
400000,"6198243,45","8295624,4","92,85212"
500000,"7874658,9","1,050881575E7","111,95281"
600000,"9556140,5","1,28312255E7","133,05138"
700000,"1,1258706E7","1,51890405E7","154,41775"
800000,"1,29836713E7","1,748511055E7","178,95992"
900000,"1,46904073E7","1,997221745E7","201,46149"
1000000,"1,645827275E7","2,22190426E7","229,61182"
