TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,45","1,45","0,00058"
8,"29,65","13,65","0,00071"
13,"59,8","36,8","0,00181"
18,"91,5","62,0","0,00200"
23,"119,6","85,05","0,00278"
28,"156,15","115,65","0,00289"
33,"183,75","139,65","0,00331"
38,"219,75","173,35","0,00379"
43,"253,35","207,05","0,00431"
48,"293,85","247,9","0,00490"
53,"329,5","275,15","0,00495"
58,"361,4","313,3","0,00578"
63,"395,85","344,3","0,00626"
68,"436,9","379,7","0,00673"
73,"476,15","412,85","0,00782"
78,"511,3","451,45","0,00736"
83,"549,7","508,6","0,00819"
88,"592,05","527,4","0,00828"
93,"631,9","576,95","0,00885"
98,"672,05","620,05","0,00980"
103,"708,1","657,0","0,00986"
10000,"116961,65","142974,35","1,49445"
20000,"247692,05","305095,4","3,16207"
30000,"382982,4","486057,85","5,61058"
40000,"523048,8","666184,65","6,73984"
50000,"665604,1","845132,7","8,43487"
60000,"811256,2","1033307,9","10,58535"
70000,"955596,65","1223462,1","12,01803"
80000,"1102592,1","1424521,35","14,75456"
90000,"1252013,1","1616976,15","16,07797"
100000,"1403676,05","1805391,1","18,41474"
200000,"2945179,9","3888462,4","37,75314"
300000,"4550386,45","5994938,4","58,80614"
400000,"6170734,35","8271135,35","76,74243"
500000,"7832223,2","1,05416488E7","98,12530"
600000,"9510017,4","1,281989205E7","120,53000"
700000,"1,12107008E7","1,509183815E7","145,97657"
800000,"1,29409184E7","1,73590117E7","164,50030"
900000,"1,46507198E7","1,984333015E7","196,34967"
1000000,"1,638735575E7","2,20952057E7","214,63440"
