TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,45","1,45","0,00059"
8,"31,85","15,85","0,00069"
13,"60,85","37,55","0,00198"
18,"88,35","56,35","0,00249"
23,"118,65","83,85","0,00274"
28,"153,4","116,2","0,00348"
33,"183,3","143,05","0,00394"
38,"222,95","176,45","0,00439"
43,"255,35","208,5","0,00495"
48,"288,3","241,75","0,00531"
53,"332,35","280,95","0,00668"
58,"362,0","315,1","0,00630"
63,"399,65","344,6","0,00685"
68,"436,25","371,5","0,00749"
73,"476,65","428,3","0,00860"
78,"515,65","468,75","0,00870"
83,"561,15","489,8","0,00928"
88,"592,85","536,25","0,00977"
93,"628,5","579,0","0,01002"
98,"671,2","619,6","0,01431"
103,"706,95","660,75","0,01141"
10000,"116797,65","141589,6","1,56578"
20000,"247883,8","307408,25","4,21880"
30000,"383621,6","484734,4","6,32800"
40000,"522926,2","667705,75","7,91475"
50000,"666638,9","848720,25","9,30300"
60000,"811420,9","1039564,85","11,40570"
70000,"956079,5","1234365,45","12,71725"
80000,"1105965,25","1429516,35","14,95979"
90000,"1252787,35","1621936,0","17,44124"
100000,"1401924,55","1836032,45","18,09959"
200000,"2951813,05","3888056,05","38,95292"
300000,"4549833,85","6043392,1","61,71988"
400000,"6192543,65","8210173,65","83,74591"
500000,"7844356,75","1,050773435E7","108,41063"
600000,"9537900,55","1,271957745E7","129,45505"
700000,"1,122790665E7","1,506384755E7","150,48517"
800000,"1,296250825E7","1,729140555E7","176,71473"
900000,"1,468405765E7","1,969495515E7","196,51134"
1000000,"1,640444315E7","2,227969365E7","225,18545"
