TamArray,NumAsig,NumComp,Tiempo(ns)
80000,"1182059","1467718","1.2267597E7"
80000,"1181778","1456825","1.2973295E7"
80000,"1180619","1448651","1.2405659E7"
80000,"1190024","1459907","1.2728707E7"
80000,"1177475","1462457","1.2782429E7"
80000,"1175537","1477460","1.2282419E7"
80000,"1179111","1476774","1.3158943E7"
80000,"1177023","1479335","1.1698692E7"
80000,"1179550","1455434","1.2388504E7"
80000,"1179151","1457901","1.1912371E7"
80000,"1177474","1517561","1.1991907E7"
80000,"1186803","1450310","1.1941816E7"
80000,"1178306","1482697","1.2484262E7"
80000,"1178683","1460452","1.1755727E7"
80000,"1167554","1549049","1.1747092E7"
80000,"1177946","1474171","1.2072175E7"
80000,"1176869","1475577","1.1577414E7"
80000,"1187170","1440314","1.1928687E7"
80000,"1181590","1453216","1.2191872E7"
80000,"1181572","1460633","1.2222727E7"
