TamArray,NumAsig,NumComp,Tiempo(ns)
100000,"1437753","1826314","2.0405816E7"
100000,"1434828","1866322","2.0219205E7"
100000,"1439540","1815562","2.0371853E7"
100000,"1433560","1849333","2.008217E7"
100000,"1436222","1828294","2.0574372E7"
100000,"1435397","1846416","2.1556968E7"
100000,"1436739","1849121","2.1233112E7"
100000,"1432327","1863305","2.037642E7"
100000,"1428407","1863339","2.0963986E7"
100000,"1429821","1872729","2.2172621E7"
100000,"1441531","1829087","2.128573E7"
100000,"1431866","1869540","2.0868868E7"
100000,"1434629","1852126","2.0260396E7"
100000,"1425861","1890938","2.0135637E7"
100000,"1438149","1850591","2.0175832E7"
100000,"1441465","1834342","2.0742145E7"
100000,"1441365","1796796","2.058409E7"
100000,"1440912","1833323","2.01509E7"
100000,"1424848","1896899","2.0630757E7"
100000,"1429044","1873846","2.0758036E7"
