TamArray,NumAsig,NumComp,Tiempo(ms)
3,"12,45","4,15","0,01207"
8,"45,9","25,7","0,01032"
13,"79,85","50,7","0,01636"
18,"118,3","80,5","0,01301"
23,"157,45","113,6","0,01123"
28,"202,8","150,55","0,01279"
33,"242,0","184,35","0,00876"
38,"282,85","219,1","0,00925"
43,"329,9","259,6","0,01228"
48,"369,2","300,9","0,01403"
53,"415,35","326,2","0,01510"
58,"465,6","382,4","0,01481"
63,"508,0","416,65","0,01790"
68,"555,5","460,7","0,01802"
73,"596,0","522,15","0,02047"
78,"645,2","544,75","0,02215"
83,"689,2","594,1","0,02336"
88,"728,0","640,75","0,02131"
93,"781,15","681,05","0,02614"
98,"828,35","729,55","0,02797"
103,"881,65","769,65","0,02650"
10000,"133276,45","153445,55","3,24376"
20000,"281184,6","329368,1","5,37766"
30000,"434242,2","516549,35","7,66574"
40000,"591547,25","702141,95","11,89241"
50000,"749097,0","906645,8","13,94319"
60000,"911148,55","1103137,55","16,12018"
70000,"1074213,4","1301888,85","20,03896"
80000,"1238827,3","1507918,25","20,97678"
90000,"1405039,9","1715715,5","23,54691"
100000,"1566785,15","1943841,15","26,66862"
200000,"3280055,4","4103232,85","55,53504"
300000,"5046321,55","6386739,45","85,18027"
400000,"6847305,35","8719578,9","114,36535"
500000,"8679094,15","1,101305865E7","146,61579"
600000,"1,052469185E7","1,34269013E7","184,57085"
700000,"1,23863326E7","1,58939294E7","205,80473"
800000,"1,42666837E7","1,831490085E7","242,37836"
900000,"1,614534115E7","2,085634985E7","280,22497"
1000000,"1,810873515E7","2,32092551E7","302,92454"
