TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,7","1,7","0,00048"
8,"28,75","12,75","0,00062"
13,"62,2","36,2","0,00072"
18,"91,55","62,1","0,00183"
23,"124,9","86,3","0,00249"
28,"159,55","119,1","0,00247"
33,"193,2","146,75","0,00274"
38,"224,1","174,7","0,00414"
43,"264,0","212,0","0,00355"
48,"303,4","241,45","0,00378"
53,"340,85","282,95","0,00459"
58,"379,85","330,65","0,00500"
63,"409,65","356,45","0,00550"
68,"453,5","388,7","0,00589"
73,"489,9","427,75","0,00601"
78,"526,6","457,7","0,00656"
83,"571,6","507,3","0,00705"
88,"607,0","551,25","0,00865"
93,"647,1","576,8","0,00796"
98,"687,8","620,1","0,00874"
103,"753,35","686,9","0,00898"
10000,"117950,05","143695,35","1,40117"
20000,"251112,45","308525,8","3,02098"
30000,"389511,05","484078,25","4,35660"
40000,"530418,05","668421,15","6,35333"
50000,"674998,6","851264,95","8,96590"
60000,"821795,15","1039597,55","10,02821"
70000,"969969,25","1229644,15","11,36527"
80000,"1117838,15","1429401,8","12,97400"
90000,"1269677,95","1620433,2","14,86893"
100000,"1420383,7","1823286,7","16,32413"
200000,"2987825,65","3865680,1","34,58561"
300000,"4616659,1","6042540,05","54,03471"
400000,"6251049,2","8282367,85","76,10248"
500000,"7928665,2","1,052335495E7","96,65807"
600000,"9634521,05","1,27764457E7","113,00955"
700000,"1,133738215E7","1,516733855E7","132,60871"
800000,"1,30994977E7","1,7426046E7","155,67132"
900000,"1,48403829E7","1,975382965E7","177,79587"
1000000,"1,65908962E7","2,21589722E7","198,94283"
