TamArray,NumAsig,NumComp,Tiempo(ms)
3,"9,75","5,3","0,01598"
8,"37,35","27,4","0,03320"
13,"72,15","55,3","0,06109"
18,"102,45","85,2","0,02012"
23,"137,85","123,35","0,01170"
28,"183,6","157,15","0,02212"
33,"203,25","189,55","0,01564"
38,"241,5","220,85","0,01683"
43,"289,5","273,2","0,01920"
48,"318,3","305,05","0,02030"
53,"367,2","351,05","0,07310"
58,"389,25","386,1","0,03905"
63,"437,55","424,25","0,03026"
68,"485,25","485,75","0,08486"
73,"533,25","519,4","0,03412"
78,"561,3","570,85","0,04526"
83,"604,65","609,25","0,04145"
88,"657,6","671,4","0,04562"
93,"700,95","702,4","0,04688"
98,"746,7","760,0","0,04950"
103,"774,0","803,65","0,05106"
10000,"122731,35","156914,0","3,41027"
20000,"259819,35","336314,2","5,75735"
30000,"402557,1","522989,25","8,56711"
40000,"547502,85","722794,85","12,31315"
50000,"696158,55","918282,45","13,14059"
60000,"847810,8","1117896,0","20,00967"
70000,"999846,15","1323578,15","19,26425"
80000,"1153107,0","1533842,05","22,37260"
90000,"1307753,7","1742019,6","25,39553"
100000,"1465846,95","1952485,25","27,65018"
200000,"3070924,8","4149237,55","58,10978"
300000,"4732400,25","6448116,5","89,00388"
400000,"6421153,05","8778807,1","120,17491"
500000,"8146153,35","1,11870381E7","169,11014"
600000,"9887135,7","1,35804082E7","200,10298"
700000,"1,164323685E7","1,60939206E7","234,24583"
800000,"1,34365419E7","1,841689365E7","270,47714"
900000,"1,51900101E7","2,113014475E7","309,83280"
1000000,"1,701754485E7","2,342582215E7","342,30517"
