TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,3","1,3","0,00058"
8,"34,7","18,3","0,00201"
13,"65,15","40,7","0,00354"
18,"99,75","70,25","0,00353"
23,"136,35","95,65","0,00806"
28,"169,05","124,45","0,00534"
33,"202,5","160,1","0,00593"
38,"241,5","194,2","0,00855"
43,"282,75","235,4","0,00792"
48,"319,55","271,5","0,00849"
53,"355,95","298,8","0,00876"
58,"400,2","330,05","0,00865"
63,"434,45","373,5","0,00974"
68,"471,6","422,35","0,01004"
73,"520,8","461,2","0,01043"
78,"563,7","503,05","0,01271"
83,"602,45","530,05","0,01295"
88,"639,0","583,85","0,01338"
93,"684,4","627,4","0,01390"
98,"733,85","671,3","0,01741"
103,"771,1","703,85","0,01455"
10000,"122886,9","147100,0","1,95185"
20000,"258967,8","319346,6","3,97463"
30000,"401396,25","501396,7","6,23143"
40000,"546302,55","686423,5","8,26829"
50000,"693462,65","879267,15","12,17127"
60000,"848013,5","1078732,55","12,98222"
70000,"996338,4","1268414,15","14,87592"
80000,"1149886,1","1472284,75","17,55372"
90000,"1308455,65","1659963,85","19,31866"
100000,"1458109,25","1881726,1","22,68736"
200000,"3064642,25","3974045,05","49,61587"
300000,"4723362,0","6153309,1","70,18827"
400000,"6410349,0","8440222,5","96,10725"
500000,"8128890,0","1,07328718E7","120,51027"
600000,"9862498,5","1,310384605E7","147,87859"
700000,"1,162308205E7","1,542243975E7","176,59580"
800000,"1,34012794E7","1,779814695E7","205,43482"
900000,"1,520610695E7","2,00952305E7","227,48126"
1000000,"1,698794375E7","2,256408225E7","264,96545"
