TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,45","1,45","0,00050"
8,"30,05","14,05","0,00067"
13,"64,25","38,25","0,00075"
18,"108,4","72,4","0,00083"
23,"163,7","117,7","0,00096"
28,"241,75","185,75","0,00116"
33,"235,95","180,2","0,00246"
38,"282,6","220,55","0,00239"
43,"333,4","267,55","0,00281"
48,"381,55","311,8","0,00305"
53,"425,35","343,25","0,00330"
58,"466,1","385,8","0,00375"
63,"522,9","437,1","0,00413"
68,"566,3","480,85","0,00454"
73,"609,4","525,7","0,00481"
78,"652,9","567,75","0,00510"
83,"707,3","609,3","0,00631"
88,"768,55","663,2","0,00621"
93,"811,75","711,95","0,00675"
98,"850,9","744,9","0,00747"
103,"896,75","786,35","0,00701"
10000,"134602,85","155306,95","1,18239"
20000,"284068,95","338048,4","2,61363"
30000,"437344,65","522996,9","3,89012"
40000,"594857,05","721020,15","5,34657"
50000,"757542,7","916390,05","6,74078"
60000,"917234,9","1123969,25","8,81168"
70000,"1081583,55","1322790,55","10,14264"
80000,"1248327,75","1524311,05","12,02198"
90000,"1416467,95","1729849,6","13,69503"
100000,"1582555,8","1950279,4","14,93507"
200000,"3307701,25","4152575,3","31,33666"
300000,"5083555,55","6432946,65","49,53404"
400000,"6908768,8","8703793,8","68,38447"
500000,"8739401,15","1,11583787E7","83,97274"
600000,"1,058264595E7","1,36583041E7","103,25027"
700000,"1,246672885E7","1,60564282E7","123,20503"
800000,"1,43872252E7","1,834179655E7","143,54711"
900000,"1,627390915E7","2,099735085E7","159,66213"
1000000,"1,81954619E7","2,34787011E7","178,08821"
