TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,7","1,7","0,00059"
8,"29,0","13,0","0,00069"
13,"58,5","34,25","0,00161"
18,"87,1","58,45","0,00222"
23,"120,3","83,65","0,00265"
28,"147,8","114,1","0,00311"
33,"190,5","154,15","0,00368"
38,"221,45","170,65","0,00375"
43,"260,65","205,7","0,00434"
48,"293,15","247,6","0,00502"
53,"332,65","275,75","0,00527"
58,"364,55","308,1","0,00576"
63,"404,2","339,05","0,00620"
68,"438,95","381,85","0,00678"
73,"477,65","412,15","0,00714"
78,"525,3","465,05","0,00751"
83,"545,35","489,55","0,00896"
88,"585,0","527,7","0,00867"
93,"629,4","570,25","0,00907"
98,"670,2","607,45","0,00973"
103,"711,05","654,2","0,01018"
10000,"116716,3","142125,35","1,48320"
20000,"247748,35","311607,2","3,22353"
30000,"384564,95","481471,25","4,71750"
40000,"524199,35","661191,25","6,41966"
50000,"667135,25","851482,35","8,10139"
60000,"811452,15","1033073,65","10,07618"
70000,"957569,15","1229991,65","11,76353"
80000,"1106923,65","1415260,15","13,37339"
90000,"1254741,0","1616647,0","15,43749"
100000,"1407911,15","1801151,3","17,29938"
200000,"2951502,15","3883758,35","35,89103"
300000,"4553239,65","6018319,85","57,15582"
400000,"6192778,5","8184639,8","79,42423"
500000,"7847634,95","1,047514355E7","100,87975"
600000,"9537099,45","1,27494642E7","119,39695"
700000,"1,12440749E7","1,50313903E7","143,67549"
800000,"1,295876995E7","1,735124875E7","171,90834"
900000,"1,469388795E7","1,9658814E7","183,99132"
1000000,"1,643814215E7","2,201109245E7","216,21847"
