TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,85","1,85","0,00054"
8,"27,9","11,9","0,00066"
13,"63,85","37,85","0,00078"
18,"90,05","58,8","0,00181"
23,"125,8","87,75","0,00208"
28,"155,35","111,85","0,00270"
33,"198,35","155,55","0,00299"
38,"230,95","181,05","0,00326"
43,"273,8","218,3","0,00374"
48,"298,15","240,15","0,00412"
53,"343,4","276,3","0,00434"
58,"379,9","316,8","0,00503"
63,"418,6","361,15","0,00535"
68,"460,4","391,05","0,00611"
73,"488,85","430,55","0,00613"
78,"534,8","465,8","0,00634"
83,"575,55","506,5","0,00772"
88,"619,3","533,9","0,00785"
93,"658,0","588,6","0,00854"
98,"690,6","634,4","0,00890"
103,"729,8","659,8","0,00879"
10000,"119191,45","143426,15","1,34976"
20000,"252287,75","310699,6","2,87513"
30000,"392340,15","487055,75","4,51456"
40000,"533710,9","667287,75","6,07983"
50000,"677948,15","858696,25","8,65728"
60000,"827947,2","1042775,05","9,61857"
70000,"974788,4","1234376,65","11,60089"
80000,"1125795,05","1439157,95","14,62044"
90000,"1275413,2","1626258,3","14,69940"
100000,"1428191,9","1833880,05","17,72020"
200000,"3001381,55","3882368,25","34,85010"
300000,"4622652,75","6058319,85","53,00870"
400000,"6287642,65","8278784,15","72,13915"
500000,"7956838,5","1,059541455E7","92,02508"
600000,"9674920,75","1,285909305E7","115,00804"
700000,"1,140710745E7","1,508631E7","136,12194"
800000,"1,313371495E7","1,754804985E7","153,15580"
900000,"1,489537375E7","1,9860657E7","174,37527"
1000000,"1,666351295E7","2,220735055E7","195,54629"
