TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,45","1,45","0,00061"
8,"28,7","12,7","0,00065"
13,"63,65","37,65","0,00091"
18,"110,95","74,95","0,00092"
23,"170,4","124,4","0,00129"
28,"185,7","140,75","0,00220"
33,"225,25","174,3","0,00250"
38,"266,3","203,6","0,00310"
43,"302,6","236,95","0,00318"
48,"353,95","286,1","0,00349"
53,"386,2","321,65","0,00738"
58,"427,0","347,6","0,00424"
63,"479,45","397,35","0,00852"
68,"495,7","421,65","0,00517"
73,"554,3","470,9","0,00531"
78,"609,6","525,0","0,00565"
83,"648,7","568,1","0,00650"
88,"699,55","626,7","0,01031"
93,"740,25","645,35","0,00760"
98,"803,15","710,0","0,00768"
103,"829,3","757,35","0,00764"
10000,"128265,55","150780,1","1,30635"
20000,"270502,0","325100,6","2,76607"
30000,"418800,5","507500,2","4,12013"
40000,"571342,85","695408,95","5,48007"
50000,"724037,5","895311,2","7,22190"
60000,"879158,75","1095378,55","9,02615"
70000,"1038772,45","1282778,7","10,15396"
80000,"1198863,4","1499669,0","11,84182"
90000,"1359916,0","1681280,65","16,81372"
100000,"1521097,8","1897778,25","16,77884"
200000,"3191419,3","4026099,95","32,57736"
300000,"4898009,75","6270854,65","49,37694"
400000,"6647835,2","8579228,25","68,85488"
500000,"8433305,45","1,08766942E7","88,26678"
600000,"1,02214911E7","1,328040535E7","107,32489"
700000,"1,2046811E7","1,565742845E7","125,67012"
800000,"1,38612279E7","1,81446826E7","143,34159"
900000,"1,57164457E7","2,0509232E7","163,07287"
1000000,"1,756952055E7","2,299701065E7","183,59349"
