TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,5","1,5","0,00056"
8,"30,65","14,65","0,00066"
13,"61,75","35,75","0,00074"
18,"110,35","74,35","0,00089"
23,"170,05","124,05","0,00113"
28,"189,4","142,55","0,00221"
33,"218,55","167,35","0,00250"
38,"258,1","204,0","0,00269"
43,"302,75","242,1","0,00305"
48,"343,8","277,05","0,00418"
53,"385,6","317,2","0,00375"
58,"426,45","354,5","0,00445"
63,"469,0","395,15","0,00435"
68,"516,8","438,2","0,00484"
73,"554,7","474,35","0,00528"
78,"597,65","512,4","0,00563"
83,"637,6","557,5","0,00595"
88,"688,8","599,15","0,00661"
93,"735,3","640,6","0,00688"
98,"784,4","705,3","0,00729"
103,"817,05","725,4","0,01050"
10000,"127194,0","148500,8","1,21584"
20000,"268737,8","323750,9","2,68699"
30000,"415665,9","506691,45","4,36104"
40000,"566398,1","691207,45","5,70242"
50000,"718246,05","888269,05","7,27411"
60000,"873575,25","1080192,85","8,66652"
70000,"1029390,45","1281417,15","10,44941"
80000,"1189167,3","1477334,05","12,04344"
90000,"1348589,8","1683576,65","14,60705"
100000,"1509102,9","1890423,4","15,29799"
200000,"3165680,25","3985183,35","31,80497"
300000,"4869618,9","6244464,75","51,96510"
400000,"6608963,05","8510822,75","68,57628"
500000,"8396516,4","1,08251177E7","88,21374"
600000,"1,01643271E7","1,32751045E7","105,17906"
700000,"1,1960065E7","1,55469761E7","126,28393"
800000,"1,378768425E7","1,79796026E7","157,61342"
900000,"1,559945945E7","2,053671445E7","165,45366"
1000000,"1,74553664E7","2,28444687E7","184,88074"
