TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,55","1,55","0,00052"
8,"29,5","13,5","0,00062"
13,"65,1","39,1","0,00072"
18,"93,1","60,95","0,00155"
23,"131,4","92,75","0,00217"
28,"163,3","122,2","0,00228"
33,"209,35","160,65","0,00261"
38,"234,4","180,1","0,00304"
43,"267,6","223,4","0,00369"
48,"313,8","255,65","0,00391"
53,"364,6","294,8","0,00426"
58,"382,55","326,45","0,00491"
63,"428,75","363,0","0,00517"
68,"472,95","397,85","0,00548"
73,"515,95","442,45","0,00619"
78,"551,8","476,95","0,00629"
83,"580,65","506,55","0,00707"
88,"635,25","575,5","0,00752"
93,"661,9","590,6","0,00770"
98,"718,15","661,3","0,00893"
103,"740,05","668,9","0,00858"
10000,"121044,75","144341,6","1,30560"
20000,"256768,3","315199,4","2,96872"
30000,"396390,65","487354,25","4,38713"
40000,"541043,3","672024,25","6,34246"
50000,"686228,8","866326,7","8,45990"
60000,"834665,75","1053751,4","10,02349"
70000,"986731,3","1245856,35","10,87826"
80000,"1137628,05","1440910,4","12,70139"
90000,"1291061,3","1644773,15","16,53350"
100000,"1445773,15","1836843,05","15,99748"
200000,"3033152,85","3927982,25","35,02154"
300000,"4680481,35","6057559,8","52,34202"
400000,"6361264,55","8280293,8","72,09717"
500000,"8071937,6","1,05836952E7","89,87592"
600000,"9777857,85","1,289293365E7","112,30378"
700000,"1,15229721E7","1,518945645E7","137,34111"
800000,"1,32678595E7","1,76053012E7","151,99971"
900000,"1,504886605E7","1,99931782E7","180,37254"
1000000,"1,681266055E7","2,24720497E7","202,35829"
