TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,5","1,5","0,00061"
8,"33,85","18,05","0,00206"
13,"62,3","40,05","0,00258"
18,"94,75","66,0","0,00299"
23,"127,4","94,75","0,00408"
28,"159,85","123,1","0,00501"
33,"195,7","154,15","0,00531"
38,"231,6","189,0","0,00578"
43,"288,05","238,65","0,00645"
48,"305,15","260,2","0,00812"
53,"344,1","292,7","0,00967"
58,"386,75","329,45","0,01048"
63,"447,75","403,4","0,01345"
68,"459,05","401,15","0,00992"
73,"495,3","445,8","0,00936"
78,"545,5","483,5","0,00976"
83,"576,7","524,2","0,01066"
88,"619,0","556,65","0,01079"
93,"659,4","625,9","0,01144"
98,"708,8","651,3","0,01249"
103,"743,8","690,35","0,01356"
10000,"119910,85","143840,55","1,85982"
20000,"253492,45","314886,35","3,86093"
30000,"393193,1","493394,7","6,02541"
40000,"536229,4","678008,75","8,46944"
50000,"682881,45","861921,75","10,19498"
60000,"829347,7","1061688,1","12,25051"
70000,"978106,75","1253405,9","14,26985"
80000,"1130710,15","1445179,25","17,08076"
90000,"1280130,25","1652454,15","18,50678"
100000,"1434713,2","1850411,15","20,67745"
200000,"3009694,9","3937765,2","43,75581"
300000,"4651598,35","6111626,35","68,17855"
400000,"6314199,45","8334662,8","102,10304"
500000,"8004903,65","1,0641499E7","120,20968"
600000,"9718110,6","1,2909432E7","141,05701"
700000,"1,14602424E7","1,51995012E7","168,96067"
800000,"1,31840866E7","1,769383055E7","193,91294"
900000,"1,493786525E7","2,0098755E7","219,82730"
1000000,"1,6715429E7","2,24674982E7","246,84801"
