TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,2","1,2","0,00068"
8,"37,85","20,65","0,00232"
13,"69,6","44,15","0,00322"
18,"109,45","76,25","0,00404"
23,"142,65","103,25","0,00480"
28,"178,85","136,35","0,00556"
33,"214,6","170,65","0,00644"
38,"255,05","204,8","0,00746"
43,"295,3","240,55","0,00737"
48,"338,7","275,4","0,01165"
53,"377,05","309,6","0,00961"
58,"427,45","354,25","0,01078"
63,"465,1","403,95","0,01266"
68,"509,05","440,45","0,01384"
73,"552,7","476,85","0,01826"
78,"589,75","528,3","0,01695"
83,"629,3","555,65","0,02031"
88,"672,3","618,65","0,02242"
93,"729,4","654,05","0,02445"
98,"767,25","691,15","0,02539"
103,"807,95","736,15","0,02144"
10000,"126254,5","150364,05","2,32648"
20000,"272980,6","331488,0","4,37124"
30000,"413296,85","505877,2","6,73771"
40000,"563443,05","691707,65","9,26572"
50000,"714506,7","888266,7","11,56252"
60000,"867595,75","1093510,8","14,32397"
70000,"1026624,8","1295292,65","16,10644"
80000,"1183869,45","1478043,6","18,79807"
90000,"1343479,65","1677507,4","22,09078"
100000,"1501881,05","1898716,55","24,70553"
200000,"3142178,9","4035884,5","50,33759"
300000,"4836959,8","6293152,6","77,15881"
400000,"6576449,85","8552758,1","105,31267"
500000,"8356333,2","1,090851745E7","130,18621"
600000,"1,01192017E7","1,32236559E7","172,14828"
700000,"1,19076664E7","1,566257E7","188,64478"
800000,"1,372805455E7","1,80035194E7","215,69525"
900000,"1,55609733E7","2,044254225E7","246,65932"
1000000,"1,73837338E7","2,296190935E7","274,65210"
