3,"7,95","1,95","0,00112"
8,"29,55","13,55","0,00384"
13,"63,95","37,95","0,00478"
18,"103,9","67,9","0,00623"
23,"167,95","121,95","0,01042"
28,"243,75","187,75","0,01310"
33,"338,0","272,0","0,00258"
38,"421,95","345,95","0,00251"
43,"529,2","443,2","0,00238"
48,"666,15","570,15","0,00295"
53,"802,5","696,5","0,00392"
58,"932,85","816,85","0,00382"
63,"1120,45","994,45","0,00462"
68,"1276,7","1140,7","0,00641"
73,"1423,3","1277,3","0,02096"
78,"1646,2","1490,2","0,01525"
83,"1889,4","1723,4","0,00331"
88,"2053,1","1877,1","0,00258"
93,"2294,6","2108,6","0,00274"
98,"2560,75","2364,75","0,00357"
10000,"1771270,85","1769094,45","1,99752"
20000,"3529707,0","3534317,9","3,79637"
30000,"5338154,35","5355756,4","5,18121"
40000,"7112351,45","7149306,6","6,83123"
50000,"8929252,7","8984505,8","8,75333"
60000,"1,064214445E7","1,07145554E7","10,50851"
70000,"1,248561445E7","1,25613689E7","12,85130"
80000,"1,421498435E7","1,43329094E7","13,86753"
90000,"1,606779245E7","1,61889694E7","15,80506"
100000,"1,782934275E7","1,79822925E7","18,22716"
200000,"3,576132745E7","3,61667434E7","35,91244"
300000,"5,39734754E7","5,463924135E7","55,04084"
400000,"7,199365015E7","7,30193696E7","73,86871"
500000,"8,970099895E7","9,09669817E7","92,47255"
600000,"1,0779715635E8","1,094721319E8","111,91514"
700000,"1,266046075E8","1,2856172905E8","134,49132"
800000,"1,4395701135E8","1,463822921E8","161,94462"
900000,"1,6275062545E8","1,654208421E8","171,41313"
1000000,"1,807450789E8","1,8385633445E8","189,37729"
