TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,45","1,45","0,00056"
8,"28,15","12,15","0,00064"
13,"68,85","42,85","0,00077"
18,"111,8","75,8","0,00087"
23,"139,7","100,9","0,00175"
28,"177,2","131,45","0,00249"
33,"216,8","169,7","0,00252"
38,"254,2","201,75","0,00261"
43,"302,0","236,5","0,00312"
48,"327,8","265,7","0,00347"
53,"375,1","305,3","0,00386"
58,"424,15","353,05","0,00526"
63,"450,5","377,3","0,00503"
68,"497,25","414,4","0,00604"
73,"556,5","476,4","0,00715"
78,"582,8","511,85","0,00671"
83,"653,1","558,45","0,00583"
88,"685,05","606,25","0,00627"
93,"722,05","655,0","0,00718"
98,"749,05","666,55","0,00721"
103,"837,05","746,5","0,00788"
10000,"125682,3","149348,45","1,25670"
20000,"268196,1","323399,3","2,69949"
30000,"411906,35","504262,4","4,22220"
40000,"560599,6","689092,05","6,00036"
50000,"712833,05","880856,8","8,17744"
60000,"866540,15","1077190,6","9,10168"
70000,"1020534,55","1278199,5","11,31064"
80000,"1179814,7","1470322,1","12,22561"
90000,"1338024,0","1667474,2","13,50616"
100000,"1499075,6","1874450,25","15,48063"
200000,"3139499,2","4002568,3","32,56529"
300000,"4833037,0","6206544,3","50,50490"
400000,"6555677,55","8497629,4","67,69761"
500000,"8302899,4","1,084806245E7","89,24947"
600000,"1,009148345E7","1,309710805E7","108,78986"
700000,"1,187771515E7","1,55370426E7","127,41932"
800000,"1,36776664E7","1,794657835E7","145,43496"
900000,"1,549638725E7","2,044508425E7","179,87706"
1000000,"1,734952545E7","2,2722183E7","190,16135"
