TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,4","1,4","0,00059"
8,"30,3","14,3","0,00064"
13,"65,5","39,5","0,00081"
18,"92,85","61,2","0,00185"
23,"126,0","93,8","0,00239"
28,"164,5","119,15","0,00263"
33,"194,3","149,45","0,00328"
38,"230,6","178,4","0,00329"
43,"271,8","215,7","0,00378"
48,"320,5","259,3","0,00405"
53,"348,45","284,95","0,00461"
58,"385,75","316,0","0,00542"
63,"416,35","353,65","0,00532"
68,"470,65","405,85","0,00551"
73,"497,05","422,95","0,00667"
78,"541,15","471,9","0,00619"
83,"579,05","516,4","0,00672"
88,"626,35","553,7","0,00714"
93,"662,9","586,5","0,00730"
98,"706,05","620,9","0,00823"
103,"744,75","675,0","0,00883"
10000,"119872,75","144554,5","1,34650"
20000,"254493,95","313190,0","2,86535"
30000,"393708,25","488755,85","4,35180"
40000,"537500,7","672333,65","5,89395"
50000,"682024,45","863169,9","7,41650"
60000,"829717,75","1050192,55","10,32981"
70000,"980667,55","1238701,15","10,95598"
80000,"1129748,1","1442612,8","12,50495"
90000,"1283861,45","1632789,15","14,28484"
100000,"1437299,65","1829129,1","15,78508"
200000,"3015850,95","3906571,95","33,71330"
300000,"4641916,15","6130793,6","53,79512"
400000,"6320367,25","8279427,0","71,21072"
500000,"8019911,45","1,05069207E7","101,11234"
600000,"9717686,45","1,29314775E7","111,52189"
700000,"1,147663705E7","1,50900954E7","133,14425"
800000,"1,31981817E7","1,75881234E7","154,80703"
900000,"1,494954505E7","2,000358295E7","170,32922"
1000000,"1,675040125E7","2,220917915E7","196,31301"
