TamArray,NumAsig,NumComp,Tiempo(ns)
58,"464","392","5638.0"
58,"417","341","5299.0"
58,"456","363","4072.0"
58,"455","404","3807.0"
58,"460","362","3711.0"
58,"384","318","3877.0"
58,"445","390","4962.0"
58,"424","375","4293.0"
58,"457","367","3692.0"
58,"367","320","3834.0"
58,"361","326","5147.0"
58,"434","340","3767.0"
58,"447","357","5013.0"
58,"426","343","5136.0"
58,"445","358","3525.0"
58,"435","350","3722.0"
58,"404","349","3956.0"
58,"425","334","3268.0"
58,"493","409","4552.0"
58,"459","361","3698.0"
