TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,25","1,25","0,00051"
8,"30,5","14,5","0,00056"
13,"65,65","39,65","0,00070"
18,"116,85","80,85","0,00090"
23,"172,2","126,2","0,00098"
28,"183,4","134,8","0,00191"
33,"239,5","183,5","0,00201"
38,"273,55","212,95","0,00244"
43,"321,65","259,9","0,00280"
48,"347,75","279,3","0,00338"
53,"401,6","322,6","0,00362"
58,"443,65","374,05","0,00395"
63,"493,7","419,75","0,00516"
68,"539,4","463,45","0,00450"
73,"573,0","492,65","0,00496"
78,"638,4","550,75","0,00548"
83,"671,35","592,45","0,00658"
88,"729,55","645,2","0,00671"
93,"773,55","698,05","0,00736"
98,"810,6","705,5","0,00864"
103,"866,85","784,0","0,00731"
10000,"130299,05","153480,85","1,20442"
20000,"276081,4","327792,65","2,59860"
30000,"426535,8","510587,55","3,88800"
40000,"580851,95","704902,8","5,64963"
50000,"737045,35","896435,75","7,10899"
60000,"893940,65","1108024,3","8,62488"
70000,"1056104,7","1299610,55","10,11135"
80000,"1215627,7","1515203,35","11,57753"
90000,"1379458,15","1717135,7","13,39819"
100000,"1546431,95","1912535,55","15,26946"
200000,"3229869,55","4097079,55","32,01965"
300000,"4975181,2","6301603,8","52,42100"
400000,"6743572,65","8652313,7","71,34799"
500000,"8556805,4","1,098156885E7","85,80961"
600000,"1,037756465E7","1,33723552E7","105,54124"
700000,"1,223476835E7","1,571993335E7","124,43687"
800000,"1,40731397E7","1,823592755E7","149,08396"
900000,"1,594672705E7","2,06701961E7","160,17760"
1000000,"1,781214875E7","2,321153455E7","180,64969"
