TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,6","1,6","0,00065"
8,"29,6","13,6","0,00070"
13,"58,85","34,85","0,00182"
18,"90,75","60,7","0,00250"
23,"118,8","89,15","0,00282"
28,"152,55","113,6","0,00327"
33,"187,3","144,45","0,00380"
38,"219,9","175,7","0,00448"
43,"257,1","206,0","0,00473"
48,"290,15","235,25","0,00602"
53,"324,9","272,15","0,00562"
58,"364,15","315,7","0,00618"
63,"399,65","347,5","0,00710"
68,"439,5","389,25","0,00720"
73,"481,3","418,8","0,00766"
78,"541,05","495,3","0,00776"
83,"542,5","487,75","0,00844"
88,"586,45","540,55","0,00927"
93,"626,25","566,4","0,00961"
98,"675,2","618,75","0,01051"
103,"705,55","656,9","0,01298"
10000,"116352,25","142630,9","1,70090"
20000,"247126,05","308102,1","3,21603"
30000,"382838,55","485747,1","5,02818"
40000,"523079,3","664252,5","7,61602"
50000,"665144,25","848403,4","8,88330"
60000,"808758,9","1038434,0","10,67814"
70000,"955037,75","1229082,4","13,43053"
80000,"1104577,65","1418963,0","14,33675"
90000,"1250553,7","1622150,2","16,42403"
100000,"1402823,85","1812688,8","18,30251"
200000,"2945243,95","3873857,3","39,56663"
300000,"4552300,3","5992409,55","59,52709"
400000,"6178794,35","8197958,5","81,96193"
500000,"7836107,15","1,044556975E7","101,77335"
600000,"9524012,0","1,269543435E7","134,12827"
700000,"1,12089069E7","1,5093034E7","146,50700"
800000,"1,2920997E7","1,741503935E7","171,02095"
900000,"1,46454847E7","1,976665295E7","192,99706"
1000000,"1,640377515E7","2,203606205E7","215,51504"
