TamArray,NumAsig,NumComp,Tiempo(ns)
70000,"974458","1220215","1.1060034E7"
70000,"968844","1218437","1.1277813E7"
70000,"973706","1245215","1.1319649E7"
70000,"966793","1239403","1.1306653E7"
70000,"978795","1221215","1.1461977E7"
70000,"958273","1284944","1.1655446E7"
70000,"970178","1213590","1.1476772E7"
70000,"957970","1289237","1.143089E7"
70000,"965520","1244337","1.1627259E7"
70000,"971788","1219637","1.1441606E7"
70000,"970461","1224208","1.1259208E7"
70000,"969125","1224499","1.140985E7"
70000,"971260","1223567","1.1516049E7"
70000,"969577","1221980","1.138862E7"
70000,"974617","1199804","1.1514027E7"
70000,"976826","1204872","1.1167131E7"
70000,"971586","1222470","1.1123661E7"
70000,"969047","1222228","1.1310226E7"
70000,"974727","1217405","1.1279646E7"
70000,"965834","1235620","1.1278919E7"
