TamArray,NumAsig,NumComp,Tiempo(ns)
58,"364","333","8994.0"
58,"340","270","6269.0"
58,"384","317","7256.0"
58,"379","314","7073.0"
58,"367","340","7813.0"
58,"376","306","6918.0"
58,"393","327","5938.0"
58,"368","294","6754.0"
58,"381","331","6704.0"
58,"403","336","7013.0"
58,"374","308","6761.0"
58,"365","311","7441.0"
58,"361","284","7067.0"
58,"364","294","7050.0"
58,"371","305","7361.0"
58,"379","295","6708.0"
58,"395","361","7271.0"
58,"387","317","7605.0"
58,"381","321","7306.0"
58,"377","332","7550.0"
