TamArray,NumAsig,NumComp,Tiempo(ns)
23,"126","82","2347.0"
23,"106","56","1632.0"
23,"129","97","2896.0"
23,"137","111","2618.0"
23,"118","78","2127.0"
23,"120","81","2017.0"
23,"118","82","1454.0"
23,"126","84","1578.0"
23,"127","101","2070.0"
23,"113","82","3140.0"
23,"135","100","2304.0"
23,"123","81","1674.0"
23,"139","91","2073.0"
23,"140","101","2070.0"
23,"126","93","2789.0"
23,"122","83","1906.0"
23,"136","94","1657.0"
23,"123","81","2071.0"
23,"142","106","1602.0"
23,"110","71","1542.0"
