TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,55","1,55","0,00053"
8,"29,45","13,45","0,00062"
13,"62,25","36,25","0,00074"
18,"108,2","72,2","0,00146"
23,"132,85","92,0","0,00186"
28,"175,7","130,3","0,00232"
33,"211,4","159,15","0,00234"
38,"251,1","193,8","0,00260"
43,"298,35","241,4","0,00302"
48,"328,65","269,15","0,00356"
53,"376,15","306,2","0,00390"
58,"414,35","338,85","0,00417"
63,"448,7","388,35","0,00464"
68,"493,9","411,7","0,00510"
73,"533,4","455,7","0,00545"
78,"576,7","506,05","0,00576"
83,"619,75","553,2","0,00623"
88,"659,85","586,55","0,00659"
93,"714,0","628,55","0,00683"
98,"750,65","660,65","0,00696"
103,"795,45","702,5","0,00986"
10000,"125173,5","147125,25","1,23471"
20000,"263715,15","320844,95","2,70688"
30000,"409600,2","494247,55","4,12899"
40000,"556821,25","686456,95","5,57491"
50000,"707543,25","875634,75","7,08133"
60000,"859385,35","1072449,8","8,94779"
70000,"1015630,5","1268599,3","10,88703"
80000,"1169563,75","1467260,85","12,57328"
90000,"1325740,5","1683058,3","13,71562"
100000,"1487150,4","1866379,85","15,35437"
200000,"3114499,5","3989126,95","33,76721"
300000,"4795626,5","6194906,75","62,00658"
400000,"6505961,4","8483579,7","71,41787"
500000,"8252788,95","1,07674933E7","88,62790"
600000,"1,002283635E7","1,31061476E7","107,86788"
700000,"1,18148876E7","1,54575244E7","128,85285"
800000,"1,363122555E7","1,76548783E7","148,35780"
900000,"1,540556515E7","2,02467815E7","167,77834"
1000000,"1,72371081E7","2,26472546E7","187,27090"
