TamArray,NumAsig,NumComp,Tiempo(ns)
100000,"1536410","1967856","1.5159878E7"
100000,"1550125","1908376","1.4714442E7"
100000,"1549459","1890621","1.4974998E7"
100000,"1539984","1930584","1.4612623E7"
100000,"1542766","1911758","1.4971428E7"
100000,"1541534","1903442","1.4880239E7"
100000,"1542717","1907641","1.506759E7"
100000,"1537404","1959209","1.583566E7"
100000,"1552598","1933163","1.5620012E7"
100000,"1548981","1915021","1.5259799E7"
100000,"1546948","1914535","1.4877611E7"
100000,"1556624","1909488","1.566955E7"
100000,"1547761","1895761","1.5625215E7"
100000,"1542763","1892288","1.5458915E7"
100000,"1548385","1881291","1.532356E7"
100000,"1548731","1890338","1.554249E7"
100000,"1539504","1943010","1.5599498E7"
100000,"1549154","1900910","1.5502172E7"
100000,"1549058","1916558","1.55387E7"
100000,"1557733","1878861","1.5154797E7"
