TamArray,NumAsig,NumComp,Tiempo(ns)
103,"932","927","8085.0"
103,"860","745","7106.0"
103,"889","804","7069.0"
103,"812","761","6877.0"
103,"945","835","6371.0"
103,"831","758","6384.0"
103,"858","744","9792.0"
103,"805","742","6967.0"
103,"782","723","7834.0"
103,"857","747","6333.0"
103,"997","884","6482.0"
103,"842","732","6712.0"
103,"827","756","6319.0"
103,"820","798","6879.0"
103,"909","779","9571.0"
103,"956","822","6788.0"
103,"875","797","6440.0"
103,"823","746","9995.0"
103,"794","743","7670.0"
103,"923","837","6508.0"
