TamArray,NumAsig,NumComp,Tiempo(ns)
80000,"1215547","1500292","1.2299785E7"
80000,"1212242","1521133","1.1602267E7"
80000,"1214138","1518205","1.1409745E7"
80000,"1205248","1557029","1.1342903E7"
80000,"1212907","1513954","1.1217963E7"
80000,"1213580","1504696","1.1338861E7"
80000,"1216018","1495355","1.1478933E7"
80000,"1215442","1496753","1.1613949E7"
80000,"1218353","1486418","1.1766243E7"
80000,"1217274","1490056","1.1593914E7"
80000,"1218683","1496722","1.147281E7"
80000,"1227134","1454073","1.1364817E7"
80000,"1216676","1531579","1.1437478E7"
80000,"1220531","1475095","1.1527868E7"
80000,"1220033","1533076","1.1988225E7"
80000,"1215384","1500989","1.1901619E7"
80000,"1219879","1584857","1.1912174E7"
80000,"1217393","1498213","1.1593855E7"
80000,"1205404","1616854","1.1487721E7"
80000,"1210688","1528718","1.1199434E7"
