TamArray,NumAsig,NumComp,Tiempo(ms)
3,"7,6","1,6","0,00082"
8,"29,15","13,15","0,00097"
13,"60,5","34,5","0,00109"
18,"107,0","71,0","0,00127"
23,"133,0","93,0","0,00276"
28,"164,5","119,8","0,00385"
33,"200,95","153,0","0,00391"
38,"241,75","188,85","0,00428"
43,"279,25","222,05","0,00472"
48,"314,5","258,7","0,00517"
53,"356,95","301,4","0,00655"
58,"386,75","329,65","0,00630"
63,"431,25","364,0","0,00684"
68,"478,95","408,2","0,00780"
73,"507,9","438,85","0,00672"
78,"556,85","480,25","0,00752"
83,"588,3","505,45","0,00837"
88,"637,55","572,6","0,00707"
93,"671,45","602,1","0,00686"
98,"721,25","650,25","0,00715"
103,"760,95","684,25","0,00797"
10000,"121800,2","144599,3","1,26272"
20000,"257454,25","315131,25","2,79936"
30000,"399048,3","493721,95","4,31496"
40000,"544675,6","673549,25","6,56738"
50000,"690524,45","874658,6","8,14274"
60000,"842720,75","1049940,05","9,27408"
70000,"991708,15","1256166,6","10,86574"
80000,"1145161,7","1456567,25","12,19218"
90000,"1301746,25","1637596,6","14,11352"
100000,"1454103,5","1849593,55","15,85718"
200000,"3052785,9","3952469,0","33,48620"
300000,"4698747,0","6127635,6","51,53091"
400000,"6389559,85","8349240,3","72,40168"
500000,"8114082,85","1,057196295E7","92,67412"
600000,"9829003,4","1,29787699E7","111,61086"
700000,"1,1575755E7","1,532698405E7","129,85225"
800000,"1,335070245E7","1,767084825E7","149,50542"
900000,"1,51354001E7","2,01218753E7","172,46686"
1000000,"1,69073895E7","2,262910805E7","190,28351"
