TamArray,NumAsig,NumComp,Tiempo(ns)
83,"694","627","26489.0"
83,"689","604","21754.0"
83,"728","584","24754.0"
83,"712","578","30594.0"
83,"706","580","24773.0"
83,"691","608","24731.0"
83,"712","567","24405.0"
83,"737","546","27743.0"
83,"721","626","25240.0"
83,"666","562","23553.0"
83,"685","639","31247.0"
83,"694","603","24617.0"
83,"656","588","22407.0"
83,"699","583","22458.0"
83,"680","567","21964.0"
83,"670","593","19014.0"
83,"671","605","19800.0"
83,"673","597","16334.0"
83,"696","623","21469.0"
83,"604","602","13933.0"
